transliteration,normalization,sign_names,remarks
A-bu₃-bu₂,Abubu[]PN,A |KA×GAN₂@T| KASKAL,
A-ši-ba-tal,Ašipatal[]PN,A IGI BA RI,Hurrian
A-šir{ki},Aššur[]SN,A ŠIR KI,
A-šum{ki}-še₃,Ašum[]SN,A TAG KI EŠ₂,
A-šur₅,Aššur[]PN,A LAL LAGAB,
A-šur₅-ra-še₃,Aššur[]PN,A LAL LAGAB RA EŠ₂,
A-šur₅-ra{ki},Aššur[]SN,A LAL LAGAB RA KI,
A-šur₅{ki},Aššur[]SN,A LAL LAGAB KI,
A-da-a,Adda[]PN,A DA A,
A-da-da,Adada[]PN,A DA DA,
A-da-gal,Adaggal[]PN,A DA GAL,
A-da-gal-šum,Adaggalšum[]PN,A DA GAL TAG,
A-da-gal-šum-e,Adaggalšum[]PN,A DA GAL TAG E,
A-da-la₂-a,Addalal[]PN,A DA LAL A,
A-da-lal₃,Addalal[]PN,A DA |TA×HI|,
A-da-lal₃-bi,Addalalbi[]PN,A DA |TA×HI| BI,
A-da-lal₃-ta,Addalal[]PN,A DA |TA×HI| TA,
A-da-ni-ta,Addani[]PN,A DA NI TA,
A-da-ti-ta,Adati[]PN,A DA TI TA,= Adatum?
A-da-tum,Adatum[]PN,A DA TUM,= Adati?
A-dam-DUN,A.dam.DUN[]SN,A DAM DUN,= Elam (generally in context with Susa; = Elamite Haltamti)?
A-dam-DUN{ki},A.dam.DUN{ki}[]SN,A DAM DUN KI,
A-dam-DUN{ki}-še₃,A.dam.DUN{ki}[]SN,A DAM DUN KI EŠ₂,
A-dam-DUN{ki}-ke₄,A.dam.DUN{ki}[]SN,A DAM DUN KI KID,
A-dam-DUN{ki}-ta,A.dam.DUN{ki}[]SN,A DAM DUN KI TA,
A-ga-a,Aga[]PN,A GA A,
A-ga-de₃{ki},Agade[]SN,A GA NE KI,
A-ga-lum,Agalum[]PN,A GA LUM,
A-ga-tum,Agatum[]PN,A GA TUM,
A-gaz{ki},Agaz[]SN,A |GUM×ŠE| KI,
A-ge,Ayagina[]PN,A GI,"or, Ayagin, Agina"
A-gi-pu-um,Agipum[]PN,A GI BU UM,
A-gu,Agu[]PN,A GU,
A-gu-a,Aguʾa[]PN,A GU A,
A-gu-a-li₂,Aguʾali[]PN,A GU A NI,
A-gu-a-ni,Aguʾali[]PN,A GU A NI,
A-gu-a-si₂-im-ti,Aguʾasimti[]PN,A GU A ZI IM TI,
A-gu-a-ta,Aguʾa[]PN,A GU A TA,
A-gu-da,Aguda[]PN,A GU DA,
A-gu-du,Agudu[]PN,A GU DU,
A-gu-gu-ta,Agugu[]PN,A GU GU TA,
A-gu-nu-um,Agunum[]PN,A GU NU UM,
A-gub-ba,Aguba[]PN,A DU BA,= Agube?
A-ha-am-wa-qar,Ahamwaqar[]PN,A HA |GUD×KUR| PI GAR₃,
A-ha-an-ši-bu,Ahanšibu[]PN,A HA AN IGI BU,
A-ha-an-ši-pu,Ahanšibu[]PN,A HA AN IGI BU,
A-ha-an-ši₂-bu,Ahanšibu[]PN,A HA AN SI BU,
A-ha-an-ni-šu,Ahanišu[]PN,A HA AN NI ŠU,
A-ha-an-ni-šu-ta,Ahanišu[]PN,A HA AN NI ŠU TA,
A-ha-an-si-pu,Ahanšibu[]PN,A HA AN SI BU,
A-ha-an-ti-bu,Ahantibu[]PN,A HA AN TI BU,
A-ha-ši-pu,Ahanšibu[]PN,A HA IGI BU,
A-ha-šu,Ahašum[]PN,A HA ŠU,
A-ha-šu-um,Ahašum[]PN,A HA ŠU UM,
A-ha-ma-ti,Ayahamatil[]PN,A HA MA TI,
A-ha-ni-šu,Ahanišu[]PN,A HA NI ŠU,
A-ha-ni-šu-ta,Ahanišu[]PN,A HA NI ŠU TA,
A-ha-ni-zu,Ahanišu[]PN,A HA NI ZU,typo; TRU 050 copy & photo show ŠU
A-ha-tum,Ahatum[]PN,A HA TUM,
A-hi-DINGIR,Ahiʾilum[]PN,A HI AN,"or, Ahiʾili"
A-hi-DINGIR-ta,Ahiʾilum[]PN,A HI AN TA,
A-hi-ma,Ahima[]PN,A HI MA,
A-hi-ma-ra,Ahima[]PN,A HI MA RA,
A-hi-ma-ta,Ahima[]PN,A HI MA TA,
A-hu-DU₁₀,Ahuṭab[]PN,A HU HI,
A-hu-DU₁₀-še₃,Ahuṭab[]PN,A HU HI EŠ₂,
A-hu-DU₁₀-ta,Ahuṭab[]PN,A HU HI TA,
A-hu-We-er,AhuWer[]PN,A HU PI IR,
A-hu-We-er--ta,AhuWer[]PN,A HU PI IR TA,typo
A-hu-We-er-še₃,AhuWer[]PN,A HU PI IR EŠ₂,
A-hu-We-er-ta,AhuWer[]PN,A HU PI IR TA,
A-hu-a,Ahuʾa[]PN,A HU A,
A-hu-a-hi,Ahuʾahi[]PN,A HU A HI,uncertain
A-hu-a-ni,Ahuʾani[]PN,A HU A NI,
A-hu-a-ta,Ahuʾa[]PN,A HU A TA,
A-hu-a-ti,Ahuʾati[]PN,A HU A TI,
A-hu-ba-qar,Ahuwaqar[]PN,A HU BA GAR₃,
A-hu-šu-ni,Ahušuni[]PN,A HU ŠU NI,
A-hu-šu-ni-ZE₂,A.hu.šu.ni.ZE₂[]PN,A HU ŠU NI ZE₂,SET 063 r i 20 (rev. photo)
A-hu-šu-ni-ta,Ahušuni[]PN,A HU ŠU NI TA,
A-hu-ki-in,Ahukin[]PN,A HU KI IN,
A-hu-ma,Ahuma[]PN,A HU MA,
A-hu-ni,Ahuni[]PN,A HU NI,= Ahunim?
A-hu-ni-šu,Ahunišu[]PN,A HU NI ŠU,
A-hu-ni-im,Ahunim[]PN,A HU NI IM,gen of Ahunum? (SET 093 o 18: 1 gud kišib A-hu-ni-im)
A-hu-ni-ta,Ahuni[]PN,A HU NI TA,
A-hu-ti{ki},Ahuti[]SN,A HU TI KI,
A-hu-um,Ahum[]PN,A HU UM,
A-hu-um-BA,A.hu.um.BA[]PN,A HU UM BA,= Ahumbani?; Nik. 2 461 r 9 (copy)
A-hu-um-DINGIR,Ahumili[]PN,A HU UM AN,"or, Ahumilum"
A-hu-um-ba-ni,Ahumbani[]PN,A HU UM BA NI,
A-hu-um-ma,Ahuma[]PN,A HU UM MA,
A-hu-wa-qar,Ahuwaqar[]PN,A HU PI GAR₃,
A-hu-wa-qar-ta,Ahuwaqar[]PN,A HU PI GAR₃ TA,
A-hu-we-er,AhuWer[]PN,A HU PI IR,
A-hu-we-er-ta,AhuWer[]PN,A HU PI IR TA,
A-i₃-li₂-su,Abuʾilušu[]PN,A NI NI SU,
A-kal-la,Ayakala[]PN,A KAL LA,
A-kal-la-ta,Ayakala[]PN,A KAL LA TA,
A-ki-a,Akiʾa[]PN,A KI A,
A-kiri₃-zal,Akirizal[]PN,A KA NI,"or, Ayakirizal"
A-ku-a,Akuʾa[]PN,A KU A,
A-la-la-a,Alala[]PN,A LA LA A,
A-la-la₂,Alala[]PN,A LA LAL,
A-la-mu,Alaŋu[]PN,A LA MU,Allaŋu?
A-la-mu-ta,Alaŋu[]PN,A LA MU TA,
A-la-ru-um,Alarum[]PN,A LA RU UM,
A-la-sum,Alasum[]PN,A LA SUM,= Alazum?
A-la-zum,Alazum[]PN,A LA ZUM,= Alasum?
A-lal₃-la-lum,Alalalum[]PN,A |TA×HI| LA LUM,
A-li,Ali[]PN,A LI,
A-li-ah,Aliʾah[]PN,A LI |HI×NUN|,
A-li₂-DU₁₀,Aliṭab[]PN,A NI HI,
A-li₂-ah,Aliʾah[]PN,A NI |HI×NUN|,
A-li₂-li₂,Alili[]PN,A NI NI,
A-li₂-ni-šu,Alinišu[]PN,A NI NI ŠU,
A-lu-ṭa-bum₂,Aluṭabum[]PN,A LU DA BALAG,
A-lu-um{ki},Alum[]SN,A LU UM KI,
A-ma-ad,Amat[]PN,A MA AD,
A-ma-an-ne-en,Amanen[]PN,A MA AN NE EN,
A-ma-an-ne-en₆,Amanen[]PN,A MA AN NE IN,
A-ma-la,Amala[]PN,A MA LA,
A-ma-ne-en-ŠA,A.ma.ne.en.ŠA[]PN,A MA NE EN ŠA,AnOr 07 102 r 2 (copy/photo)
A-ma-si₂-li,Amasili[]PN,A MA ZI LI,
A-maš-ti-ak,Amaštiʾak[]WN,A MAŠ TI AK,PDT 2 0918 r iii 7: gu2 i7 A-maš-ti-ak
A-mi-ir-AN,Amirili[]PN,A MI IR AN,
A-mi-ir-{d}Šul-gi,AmirŠulgi[]PN,A MI IR AN DUN GI,
A-mu-a,Amuʾa[]PN,A MU A,
A-mu-er₂-LU-numun,Amuʾa[]PN,A MU A IGI LU KUL,MVN 13 458 o 9: A-mu-a u₃-kul (photo)
A-mur-An-num₂,Amurili[]PN,A |HI×AŠ₂| AN LUM,uncertain (Amurilum?)
A-mur-DINGIR,Amurili[]PN,A |HI×AŠ₂| AN,
A-mur-DINGIR-ta,Amurili[]PN,A |HI×AŠ₂| AN TA,
A-mur-E₂-a,AmurEa[]PN,A |HI×AŠ₂| E₂ A,
A-mur-E₂-a-ta,AmurEa[]PN,A |HI×AŠ₂| E₂ A TA,
A-mur-da-ku-um,Amurdaqqum[]PN,A |HI×AŠ₂| DA KU UM,'I have seen a child'?
A-mur-{d}Šul-gi,AmurŠulgi[]PN,A |HI×AŠ₂| AN DUN GI,
A-mur-{d}Suen,AmurSuʾen[]PN,A |HI×AŠ₂| AN EN ZU,
A-mur-{d}UTU,AmurŠamaš[]PN,A |HI×AŠ₂| AN UD,
A-na-a,Anaa[]PN,A NA A,
A-na-a-MU,Anaŋu[]PN,A NA A MU,
A-na-ab-E₂-a,AnabEa[]PN,A NA AB E₂ A,
A-na-ah-i₃-li₂,Anahili[]PN,A NA |HI×NUN| NI NI,
A-na-at-E₂-a,AnatEa[]PN,A NA AD E₂ A,
A-na-ha,Anaha[]PN,A NA HA,
A-na-lu₂,Analu[]PN,A NA LU₂,
A-na-na,Anana[]PN,A NA NA,
A-na-ni-ak,Ananiʾak[]PN,A NA NI AK,= Ananiʾa?
A-na-nu-um-DINGIR,Ananumilum[]PN,A NA NU UM AN,
A-na-ti,Anati[]PN,A NA TI,= Anatum?
A-na-ti-ta,Anati[]PN,A NA TI TA,
A-na-tum,Anatum[]PN,A NA TUM,= Anati?
A-ni-a,Aniʾa[]PN,A NI A,
A-ni₂-ti-dam,Anitidam[]PN,A IM TI DAM,
A-nu-il,Anuʾil[]PN,A NU IL,'Anu is god' (stat absol)?
A-num₂-me-il-lum,Anumilum[]PN,A LUM ME IL LUM,
A-pi-la-ša,Apilaša[]PN,A PI LA ŠA,= Apilašam?
A-pi-la-ša-am,Apilašam[]PN,A PI LA ŠA |GUD×KUR|,= Apilaša?
A-pi-la-nu-um,Apilanum[]PN,A PI LA NU UM,
A-pi-te-el₂,Apitel[]PN,A PI TE IL,Hurrian?
A-pi₂-ak{ki},Apiʾak[]SN,A BI AK KI,
A-pi₂-ak{ki}-ka,Apiʾak[]SN,A BI AK KI KA,
A-pi₂-ak{ki}-ta,Apiʾak[]SN,A BI AK KI TA,
A-pi₅-ak{ki},Apiʾak[]SN,A NE AK KI,
A-pi₅-la-ša,Apilaša[]PN,A NE LA ŠA,
A-pi₅-la-ta,Apila[]PN,A NE LA TA,
A-pi₅-la-ti,Apilati[]PN,A NE LA TI,= Apilatum?
A-pi₅-la-tum,Apilatum[]PN,A NE LA TUM,= Apilati?
A-pi₅-li₂,Apili[]PN,A NE NI,
A-pi₅-li₂-a,Apiliʾa[]PN,A NE NI A,
A-pil₂-sa-um,Apilsaʾum[]PN,A NE@S SA UM,
A-pu-nu-um,Apunum[]PN,A BU NU UM,
A-ra-ap-hu-um{ki},Arraphum[]SN,A RA AB HU UM KI,
A-ra-mi{ki},Arami[]SN,A RA MI KI,
A-ra-zu-{d}I-bi₂-{d}Suen-ka-še₃-pa₃-da,ArazuIbbiSuʾenakšepada[]PN,A RA ZU AN I NE AN EN ZU KA EŠ₂ IGI RU DA,AUAM 73.2209 o ii 6 (en Eridu) 'found acc. to the supplication of IbbiSuen'?
A-ra-zu-{d}I-bi₂-{d}Suen-na-pa₃-da,ArazuIbbiSuʾenakšepada[]PN,A RA ZU AN I NE AN EN ZU NA IGI RU DA,AUAM 73.2209 r i 11 (en Eridu) 'found acc. to the supplication of IbbiSuen'?
A-ra₂-mu,Araŋu[]PN,A DU MU,
A-ri-du-bu-uk,Aridubuk[]PN,A RI DU BU |PIRIG×UD|,Elamite?
A-ri-ip-a-tal,Aripatal[]PN,A RI IB A RI,Hurrian
A-ri-ip-hu-up-pi₂,Ariphuppi[]PN,A RI IB HU UB BI,Hurrian
A-ri₂-bi,Aribi[]PN,A URU BI,
A-ri₂-bi-um{ki},Aribiʾum[]SN,A URU BI UM KI,
A-ri₂-ip-a-tal,Aripatal[]PN,A URU IB A RI,Hurrian
A-ri₂-ip-hu-up-pi₂,Ariphuppi[]PN,A URU IB HU UB BI,Hurrian
A-ṣa-ru-um-a-ur₂-ra{ki},Aṣarumaʾura[]SN,A ZA RU UM A UR₂ RA KI,
A-ṣa-ru-um-a-ur₂-ra{ki}-ka,Aṣarumaʾura[]SN,A ZA RU UM A UR₂ RA KI KA,
A-ṣa-ru-um-da-gi,Aṣarumdaqqi[]SN,A ZA RU UM DA GI,
A-ta-a,Atta[]PN,A TA A,uncertain
A-ta₂-še-en-ta,Attašen[]PN,A DA ŠE EN TA,Hurrian
A-ta₂-kal₂-šum,Atakkalšum[]PN,A DA GAL TAG,
A-ta₂-kal₂-šum-e,Atakkalšum[]PN,A DA GAL TAG E,
A-ta₂-na-ah,Atanah[]PN,A DA NA |HI×NUN|,
A-tal-me-me,AtalMeme[]PN,A RI ME ME,Hurrian
A-tal₂-{d}Mar-tu-ra,AtalMartu[]PN,A PI AN MAR TU RA,Hurrian
A-tar-da,Atarda[]PN,A TAR DA,
A-ti,Ati[]PN,A TI,Ayati?
A-ti-a-ta,Atiʾa[]PN,A TI A TA,
A-ti-da,Atida[]PN,A TI DA,
A-ti-da-ka,Atida[]PN,A TI DA KA,
A-ti-da-ta,Atida[]PN,A TI DA TA,
A-ti-ma-tum,Atimatum[]PN,A TI MA TUM,
A-tu,Atu[]PN,A TU,
A-tu-Ma-ma,AtuMamak[]PN,A TU MA MA,
A-tu-banda₃{da},Atubanda[]PN,A TU TUR DA,
A-tu-du,Atudu[]PN,A TU DU,MVN 01 144 o 11'; name translit only (PD)
A-tu-kal-la,Atukala[]PN,A TU KAL LA,"or, Atukalag"
A-tu-ki,Atuki[]PN,A TU KI,
A-tu-su-si-ig,Atu[]PN,A TU SU SI IG,typo: NBC 00121 o 6: 1# gud# [A-t]u su-si-ig '1 bull for Atu the flayer'
A-tu-ta,Atu[]PN,A TU TA,
A-u₃-da-il,Aʾudaʾil[]PN,A IGI DIB DA IL,
A-wa-ar-ka,Awarka[]PN,A PI IGI RI KA,
A-wa-at-i₃-li₂,Awatili[]PN,A PI AD NI NI,
A-wa-nu-um,Awanum[]PN,A PI NU UM,
A-za,Aza[]PN,A ZA,
A-za-ak-za-kum,Azakzakum[]PN,A ZA AK ZA GUM,
A-za-ba-an,Azaban[]PN,A ZA BA AN,= Azabani?
A-za-lum,Azalum[]PN,A ZA LUM,
A-za-ma-an{ki},Azaman[]SN,A ZA MA AN KI,
A-zi-zi,Azizi[]PN,A ZI ZI,
A.AB.BA-ba-aš-ti,Abumbašti[]PN,A AB BA BA AŠ TI,uncertain
A.AB.BA-ba-aš-ti-še₃,Abumbašti[]PN,A AB BA BA AŠ TI EŠ₂,
A.AB.BA-ba-aš₂-ti-e,Abumbašti[]PN,A AB BA BA AŠ₂ TI E,
A.AB.BA-ba-aš₂-ti-ra,Abumbašti[]PN,A AB BA BA AŠ₂ TI RA,
kuara{ki},Kuʾara[]SN,HA A KI,
kuara₂{ki},Kuʾara[]SN,A HA KI,
A.HA{ki},Kuʾara[]SN,A HA KI,
A.HA{ki}-še₃,Kuʾara[]SN,A HA KI EŠ₂,
A.HA{ki}-ta,Kuʾara[]SN,A HA KI TA,
A.MA-{d}Eš₄-tar₂-ra,A.MA.{d}Eš₁₈.tar₂.ra[]PN,A MA AN DIŠ DAR RA,UmmiʾEštar?; LAOS 1 25 r 2 (copy)
A₂-bi₂-DINGIR,Abiʾili[]PN,A₂ NE AN,
A₂-bi₂-DU₁₀,Abiṭab[]PN,A₂ NE HI,
A₂-bi₂-a-bi-ih,AbiʾEbih[]PN,A₂ NE A BI |HI×NUN|,
A₂-bi₂-si₂-im-ti,Abisimti[]PN,A₂ NE ZI IM TI,
A₂-da-lal₃,Adalal[]PN,A₂ DA |TA×HI|,Addalal?
A₂-dingir-ga₂-ta,Adiŋirŋakta[]PN,A₂ AN GA₂ TA,
A₂-ga-ga,Agaga[]PN,A₂ GA GA,
A₂-kuš₃-{d}Mar-tu,AkušMartu[]PN,A₂ U₂ AN MAR TU,
A₂-la-la,Alala[]PN,A₂ LA LA,
A₂-la-la-ta,Alala[]PN,A₂ LA LA TA,
A₂-li₂-id,Alid[]PN,A₂ NI A₂,
A₂-li₂-id-DU,Alid[]PN,A₂ NI A₂ DU,MCS 1 38 r 2: ŋiri3 a2-li2-id# / D[U-x?] (photo; PD); ra2-gaba?
A₂-na,Ana[]PN,A₂ NA,hypo?
A₂-na-mu,Anaŋu[]PN,A₂ NA MU,
A₂-na-na,Anana[]PN,A₂ NA NA,
A₂-na-na-ta,Anana[]PN,A₂ NA NA TA,
A₂-ne-ni,Apili[]PN,A₂ NE NI,
A₂-ni-a₂,Alid[]PN,A₂ NI A₂,
A₂-ni-a₂-ta,Alid[]PN,A₂ NI A₂ TA,
A₂-ni-ni-ta,Alili[]PN,A₂ NI NI TA,
A₂-nin-ga₂-ta,Aninŋak[]PN,A₂ SAL TUG₂ GA₂ TA,
A₂-nu-nu,Anunu[]PN,A₂ NU NU,
A₂-pi-la-ša,Apilaša[]PN,A₂ PI LA ŠA,
A₂-pi-lum-ma,Apiluma[]PN,A₂ PI LUM MA,= Apilum?
A₂-pi₅-la,Apila[]PN,A₂ NE LA,
A₂-pi₅-la-a,Apila[]PN,A₂ NE LA A,"or, Apilaʾa/Apilaya?"
A₂-pi₅-la-ša,Apilaša[]PN,A₂ NE LA ŠA,
A₂-pi₅-la-ša-ar,Apilaša[]PN,A₂ NE LA ŠA IGI RI,
A₂-pi₅-la-ša-še₃,Apilaša[]PN,A₂ NE LA ŠA EŠ₂,
A₂-pi₅-la-ša-ta,Apilaša[]PN,A₂ NE LA ŠA TA,
A₂-pi₅-la-nu-um,Apilanum[]PN,A₂ NE LA NU UM,
A₂-pi₅-la-num₂,Apilanum[]PN,A₂ NE LA LUM,
A₂-pi₅-la-ti,Apilati[]PN,A₂ NE LA TI,= Apilatum?
A₂-pi₅-la-tum,Apilatum[]PN,A₂ NE LA TUM,= Apilati?
A₂-pi₅-li₂,Apili[]PN,A₂ NE NI,= Apilum?
A₂-pi₅-li₂-a,Apiliʾa[]PN,A₂ NE NI A,
A₂-pi₅-li₂-a-ta,Apiliʾa[]PN,A₂ NE NI A TA,
A₂-pi₅-li₂-ta,Apili[]PN,A₂ NE NI TA,
A₂-pi₅-lum,Apilum[]PN,A₂ NE LUM,= Apili?
A₂-pi₅-lum-ma,Apiluma[]PN,A₂ NE LUM MA,= Apilum?
A₂-ti-mu,Atiŋu[]PN,A₂ TI MU,
A₂-tum-še₃,Atum[]PN,A₂ TUM EŠ₂,
A₂-u₂-u₂,AʾUʾu[]PN,A₂ U₂ U₂,
A₂-u₂-u₂-ta,AʾUʾu[]PN,A₂ U₂ U₂ TA,
A₂-zi-da,Azida[]PN,A₂ ZI DA,
A₂-{d}Nanna-ta,ANannak[]PN,A₂ AN ŠEŠ KI TA,uncertain
A₂.DU-ni,A₂.DU.ni[]PN,A₂ DU NI,Iduni?; BPOA 7 2174 o 2 (no copy/photo)
AB-il₂-la,Abbaʾila[]PN,AB IL₂ LA,
AB-ma-lik,Abummalik[]PN,AB MA UR,
AB-na,AB.na[]PN,AB NA,MVN 13 529 o 17 (copy/photo)
AB-ti-ga-nu-um,AB.ti.ga.nu.um[]PN,AB TI GA NU UM,"may not be PN (PD; title ""sheikh of Tiganum""?)"
AB.NIN.AB-kam,AB.NIN.AB.kam[]PN,AB SAL TUG₂ AB |HI×BAD|,PDT 2 0805 o 6 (no copy/photo)
AB.NIN.AB-kam-ta,AB.NIN.AB.kam[]PN,AB SAL TUG₂ AB |HI×BAD| TA,PDT 2 0805 r 13 (no copy/photo)
AB.ZU-{d}Inanna,Abzu[]ON,AB ZU AN MUŠ₃,Princeton 2 321 o 4: (bull/sheep) ZU.AB {d}Inana (photo)
AŠ-ni-u₁₈-ta,Ašliʾu[]PN,AŠ NI |URU×MIN| TA,
AH-bu-ru-um,Ahumburum[]PN,|HI×NUN| BU RU UM,uncertain; 'brother is a calf'?
AK-ba-ni,Akbani[]PN,AK BA NI,
AK-ta,AK[]PN,AK TA,1 PD; elsewhere: (egir) ... AK-ta
AM-i₃-li₂,Rimili[]PN,|GUD×KUR| NI NI,
AMAR-ma-an{ki},AMAR.ma.an{ki}[]SN,AMAR MA AN KI,= Ar-ma-an{ki}?
AMAR-ma-an{ki}-me,AMAR.ma.an{ki}[]SN,AMAR MA AN KI ME,= Ar-ma-an{ki}?
AMAR-ma-ma,AmarMamak[]PN,AMAR MA MA,"or, BurMama?"
AN-AN-zu,AN.AN.su[]PN,AN AN ZU,= Anumilišu?; UDT 119 o 4: ŋiri3 AN-AN-su (copy)
AN-DINGIR-su,AN.AN.su[]PN,AN AN SU,= Anumilišu?; OrSP 26 66 IB 195 o 17 (copy/photo)
AN-ba-ti-ri-tum-ma,AN.ba.ti.ri.tum.ma[]PN,AN BA TI RI TUM MA,Ontario 1 025 o 3 (copy/photo)
AN-ga-a,AN.ga.a[]PN,AN GA A,UDT 091 o vii 12' (copy)
AN-ga-tum,AN.ga.tum[]PN,AN GA TUM,UDT 091 o vii 23' (copy)
AN-keš₂,AN.keš₂[]PN,AN KEŠ₂,TCL 2 5498 r i 4 (copy/photo)
AN-ku-zi-ri₂,AN.ku.zi.ri₂[]PN,AN KU ZI URU,Studies Leichty 281 08 r 1 (copy)
AN-la-il,Ilumlaʾil[]PN,AN LA IL,uncertain (Martu); StOr 09-1 21 (pl.6) r 3 (copy)
AN-lu₂-bi,Anlubi[]PN,AN LU₂ BI,
AN-lu₂-mug-sa₆,Anlumugsag[]PN,AN LU₂ MUG ŠA₆,
AN-lu₂-sa₆,Anlusag[]PN,AN LU₂ ŠA₆,
AN-lugal,Anlugal[]PN,AN LUGAL,
AN-mu-ma-sum,Diŋirŋumanšum[]PN,AN MU MA SUM,
AN-mu-ma-sum-me-eš₂,Diŋirŋumanšum[]PN,AN MU MA SUM ME EŠ₂,
AN-na-a,Anaʾa[]PN,AN NA A,
AN-ra-bi₂-ta,Ilumrabi[]PN,AN RA NE TA,
AN-sa₆-ga,Diŋirsaga[]PN,AN ŠA₆ GA,"or, Ansaga"
AN-sukkal,Ansukkal[]PN,AN LUH,
AN-ti-a,Antiʾa[]PN,AN TI A,
AN.E₂-il,AN.E₂.il[]PN,AN E₂ IL,Martu; StOr 09-1 21 (pl.6) o 8 (copy)
AN.ERIM-he₂-zu,AN.ERIN₂.he₂.zu[]PN,AN ERIN₂ GAN ZU,uncertain; UDT 179 o 5: AN.ERIN2/UD-he2-zu (copy)
AN.GA-mu,AN.GA.ŋu₁₀[]PN,AN GA MU,MVN 03 352 o 4 (copy/photo)
AN.GAR₃-ta,AN.GAR₃[]PN,AN GAR₃ TA,AUCT 2 008 r 1 (copy/photo)
ARAD₂-su₂-ni,Warassuni[]PN,|ARAD×KUR| ZU NI,uncertain
ARAD₂-u₃,ARAD₂.u₃[]PN,|ARAD×KUR| IGI DIB,
Ab-ab-sa₆-ga,Abbaʾabbasaga[]PN,AB AB ŠA₆ GA,'grandfather is good'?
Ab-ab-sa₆-ga-ta,Abbaʾabbasaga[]PN,AB AB ŠA₆ GA TA,
Ab-ba,Abba[]PN,AB BA,
Ab-ba-a,Abba[]PN,AB BA A,"or, Abbaya?"
Ab-ba-a-ta,Abba[]PN,AB BA A TA,
Ab-ba-ba-ti,Abbabateŋ[]PN,AB BA BA TI,
Ab-ba-da-da,AbbaDada[]PN,AB BA DA DA,
Ab-ba-ge-na,Abbagina[]PN,AB BA GI NA,
Ab-ba-kal-la,Abbakala[]PN,AB BA KAL LA,
Ab-ba-kal-la-ta,Abbakala[]PN,AB BA KAL LA TA,
Ab-ba-mu,Abbaŋu[]PN,AB BA MU,
Ab-ba-na-ka,Abbani[]PN,AB BA NA KA,Abbana?
Ab-ba-ni-ir,Abbani[]PN,AB BA NI IR,
Ab-ba-sa₆-a-ta,Abbasaga[]PN,AB BA ŠA₆ A TA,
Ab-ba-sa₆-ga,Abbasaga[]PN,AB BA ŠA₆ GA,
Ab-ba-sa₆-ga-a,Abbasaga[]PN,AB BA ŠA₆ GA A,
Ab-ba-sa₆-ga-še₃,Abbasaga[]PN,AB BA ŠA₆ GA EŠ₂,
Ab-ba-sa₆-ga-ka,Abbasaga[]PN,AB BA ŠA₆ GA KA,
Ab-ba-sa₆-ga-ta,Abbasaga[]PN,AB BA ŠA₆ GA TA,
Ab-ba-sa₆-ga-ta-ta,Abbasaga[]PN,AB BA ŠA₆ GA TA TA,BM 116656 o 5 (no photo/copy); likely dittography
Ab-ba-sa₆-sa₆,Abbasagsag[]PN,AB BA ŠA₆ ŠA₆,likely Abbasasa(g)
Ab-ba-sig₅,Abbasaga[]PN,AB BA IGI ERIN₂,
Ab-ba-{d}En-lil₂-ta,AbbaʾEnlil[]PN,AB BA AN EN KID TA,
Ab-la,Abla[]PN,AB LA,Nebraska 03 seal 3: dumu Ab-la?
Ab₂-la-la-a,Ablala[]PN,AB₂ LA LA A,
Abzu,Abzu[]ON,ZU AB,probly cosmic Abzu or abzu-basin of DN
Abzu-{d}Inanna,Abzu[]ON,ZU AB AN MUŠ₃,Princeton 2 319 o 4: (sheep/goats) for the abzu of Inana (photo)
Aš-šur₅{ki},Aššur[]SN,AŠ LAL LAGAB KI,
Aš-šur₆{ki},Aššur[]SN,AŠ LAL₂ LAGAB KI,
Aš-da-en-na,Ašdaʾena[]PN,AŠ DA EN NA,
Aš-da-ga,Ašdaga[]PN,AŠ DA GA,
Aš-gu-ba-rum,Ašgubarum[]PN,AŠ GU BA AŠ,
Aš-ku-da-num₂,Aškudanum[]PN,AŠ KU DA LUM,
Aš-ni-u₁₈,Ašliʾu[]PN,AŠ NI |URU×MIN|,
Aš-ni-u₁₈-ta,Ašliʾu[]PN,AŠ NI |URU×MIN| TA,
Aš-ni-u₁₉,Ašliʾu[]PN,AŠ NI URU,
Aš-ni-u₁₉-ta,Ašliʾu[]PN,AŠ NI URU TA,
Aš-nun{ki}-ta,Ešnuna[]SN,AŠ NUN KI TA,
Aš₂-du-bi₂-iš-ta,Ašdubiš[]PN,AŠ₂ DU NE IŠ TA,
Aš₂-nun-na-ta,Ešnuna[]PN,AŠ₂ NUN NA TA,
Aš₂-nun-na{ki},Ešnuna[]SN,AŠ₂ NUN NA KI,
Aš₂-nun-na{ki}-še₃,Ešnuna[]SN,AŠ₂ NUN NA KI EŠ₂,
Aš₂-nun-na{ki}-ta,Ešnuna[]SN,AŠ₂ NUN NA KI TA,
Aš₂-nun{ki},Ešnuna[]SN,AŠ₂ NUN KI,
Aš₂-nun{ki}-še₃,Ešnuna[]SN,AŠ₂ NUN KI EŠ₂,
Aš₂-nun{ki}-ka,Ešnuna[]SN,AŠ₂ NUN KI KA,
Aš₂-nun{ki}-ta,Ešnuna[]SN,AŠ₂ NUN KI TA,
Ad-da,Adda[]PN,AD DA,
Ad-da-a,Addak[]PN,AD DA A,5 Nippur citations indicating internal genitive (Adda + -ka/ke4)
